participant_address,model_id,node_id,pw_baseline,baseline_epoch,first_post_epoch,pw_first_post,ratio_first_post,stuck_epochs,n_stuck_epochs,fix_epoch,pw_at_fix,expected_pw_under_v0_2_12,denominator_mode,epoch_total_confirmation_weights,epoch_rewards_gonka,lost_by_epoch_gonka,lost_ngonka,lost_gonka,notes
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,node1,2046,248,249,2046,1.0000,249,1,,,5694,raw_total_confirmation_weight,249:742426,249:287106.240501,249:506.932124,506932124035,506.932124,not_fixed_within_scan_window
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,node7,3108,248,249,3108,1.0000,249,1,250,11184,8650,raw_total_confirmation_weight,249:742426,249:287106.240501,249:770.061115,770061115104,770.061115,
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,inference-prod,2337,248,249,2337,1.0000,249,1,,,6504,raw_total_confirmation_weight,249:742426,249:287106.240501,249:579.032441,579032440797,579.032441,not_fixed_within_scan_window
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,mlnode-001,448,248,249,448,1.0000,"249,250,251",3,,,1247,raw_total_confirmation_weight,249:742426;250:793673;251:801524,249:287106.240501;250:286969.897421;251:286833.619088,249:110.999800;250:103.783300;251:102.717930,317501030184,317.501030,not_fixed_within_scan_window
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,node1,2685,248,249,2685,1.0000,"249,250",2,,,7473,raw_total_confirmation_weight,249:742426;250:793673,249:287106.240501;250:286969.897421,249:665.255500;250:622.004820,1287260320201,1287.260320,not_fixed_within_scan_window
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,france-rtx-2,449,248,249,449,1.0000,249,1,250,1288,1250,raw_total_confirmation_weight,249:742426,249:287106.240501,249:111.247568,111247567787,111.247568,
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,ice-1,2127,248,249,2127,1.0000,"249,250,251",3,252,6060,5920,raw_total_confirmation_weight,249:742426;250:793673;251:801524,249:287106.240501;250:286969.897421;251:286833.619088,249:527.001284;250:492.739014;251:487.680887,1507421185718,1507.421186,
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,node5,3887,248,249,3887,1.0000,249,1,250,11210,10818,raw_total_confirmation_weight,249:742426,249:287106.240501,249:963.071929,963071928703,963.071929,
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,main,2126,248,249,2126,1.0000,249,1,250,5846,5917,raw_total_confirmation_weight,249:742426,249:287106.240501,249:526.753517,526753516960,526.753517,
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,mlnode-060,455,248,249,455,1.0000,"249,250,251",3,,,1266,raw_total_confirmation_weight,249:742426;250:793673;251:801524,249:287106.240501;250:286969.897421;251:286833.619088,249:112.734172;250:105.404914;251:104.322898,322461983780,322.461984,not_fixed_within_scan_window
