participant_address,n_stuck_nodes,stuck_node_ids,first_stuck_epoch,last_stuck_epoch,fixed_in_window,total_lost_ngonka,total_lost_gonka
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,1,node1,249,249,False,508579020093,508.579020
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,node7,249,249,True,772760799409,772.760799
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,1,inference-prod,249,249,False,581122328070,581.122328
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,1,mlnode-001,249,251,False,332498931052,332.498931
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,1,node1,249,250,False,1291153511263,1291.153511
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,1,france-rtx-2,249,249,True,111724452927,111.724453
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,1,ice-1,249,251,True,1573597371609,1573.597372
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,1,node5,249,249,True,966338931389,966.338931
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,1,main,249,249,True,528751490760,528.751491
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1,mlnode-060,249,251,False,337116971760,337.116972
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,1,node1,249,249,True,155948715543,155.948716
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,1,worker_gpu_alpha,249,249,False,633881097507,633.881098
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,1,I19,249,249,True,747157278947,747.157279
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,1,EdgeTPU-3,249,249,False,609441373429,609.441373
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,1,node,249,250,False,1343669923690,1343.669924
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,1,inference,249,249,False,594312020429,594.312020
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,1,nv-compute-east,249,249,False,628837979840,628.837980
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,1,node2,249,249,True,155948715543,155.948716
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,1,inference-prod,249,249,False,261854186547,261.854187
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,1,malay-an-3,249,251,True,1572442861432,1572.442861
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,1,x104,249,250,True,1348921564934,1348.921565
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,1,node2,249,249,False,1590521725691,1590.521726
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,1,host01,249,251,True,1602460126041,1602.460126
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,1,node2,249,250,False,1155361073414,1155.361073
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,1,252-5,249,251,True,1482391067605,1482.391068
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,1,ml-node-c087b09b,249,249,False,386380399704,386.380400
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,1,U7,249,252,False,1741951169703,1741.951170
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,1,node1,249,252,False,1530327002214,1530.327002
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,1,node-6,249,249,False,480647906861,480.647907
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,1,rtx-test-1,249,249,True,112500317183,112.500317
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,1,node-235b,249,249,True,247112765674,247.112766
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,1,node_ovh,249,251,True,271309891657,271.309892
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,1,rock,249,250,False,1252141319174,1252.141319
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,1,node-1,249,253,False,3409330900392,3409.330900
